review,sentiment
"Phil the Alien adalah salah satu film unik dimana humor didasarkan seputar keanehan segalanya daripada pukulan sebenarnya. Awalnya mulanya sangat aneh dan cukup lucu tapi seiring perkembangan film saya tidak temukan lelucon atau keanehannya lucu lagi. Filmnya yang low budget (tidak masalah sama sekali), ada beberapa karakter yang cukup menarik, tapi akhirnya saya hanya kehilangan minat. <br /> <br /> Saya membayangkan film ini akan menarik seorang stoner yang saat ini sedang mengambil bagian. <br /> <br /> Untuk sesuatu yang serupa tapi lebih baik cobalah ""Brother dari planet lain""",negative
"Saya melihat film ini ketika saya berumur sekitar 12 saat keluar. Aku ingat pemandangan yang paling menakutkan adalah burung pemakan burung besar yang menggantung tanpa daya dari parasut keluar dari udara. Menyeramkan. Yang ngeri. Sebagai anak kecil pergi ke film B cheesy ini pada hari Sabtu sore, saya masih bosan dengan formula untuk film tipe monster ini yang biasanya termasuk hero, wanita cantik yang mungkin menjadi putri seorang profesor dan sebuah resolusi bahagia saat monster itu meninggal pada akhirnya. Saya tidak terlalu peduli dengan sudut romantisnya seperti usia 12 tahun dan plot yang bisa diprediksi. Aku mencintai mereka sekarang untuk humor yang tidak disengaja. <br /> <br /> Tapi, sekitar satu tahun kemudian, aku melihat Psycho saat keluar dan aku mencintainya, Janet Leigh, terbunuh di awal film. . Aku duduk dan memperhatikan hal itu. Karena penulis naskah menyusun cerita, membuatnya menjadi seram mungkin dan bukan dari formula yang sudah usang. Tidak ada peraturan.",negative
"Jadi saya bukan penggemar berat karya Boll tapi sekali lagi tidak banyak. Saya menikmati filmnya Postal (mungkin im satu-satunya). Boll rupanya membeli hak untuk menggunakan Far Cry sejak lama bahkan sebelum game itu sendiri bahkan diincar. <br /> <br /> Orang yang telah menikmati pembunuhan merup dan menginfiltrasi laboratorium penelitian rahasia yang terletak di sebuah pulau tropis harus diberi peringatan, bahwa ini bukan Cry Far ... Ini adalah sesuatu yang Boll telah rencanakan bersama-sama dengan legioninya. schmucks .. Merasa loneley di set Mr Boll mengundang tiga orang negaranya untuk bermain dengan. Pemain-pemain ini pergi dengan nama Til Schweiger, Udo Kier dan Ralf Moeller. Tiga nama yang sebenarnya telah membuat mereka cukup besar dalam film ini. Jadi kisahnya berjalan seperti ini, Jack Carver dimainkan oleh Til Schweiger (ya Carver adalah orang Jerman yang semua berteriak pada bratwurst makan dudes !!) Namun, saya menemukan bahwa Tils yang berperan dalam film ini sangat buruk. Orang-orang mengeluh tentang bagaimana dia tidak benar-benar tinggal. Sesuai dengan keseluruhan agenda Carver tapi kita hanya melihat carver dalam perspektif orang pertama jadi kita tidak begitu tahu seperti apa tampangnya saat dia menendang a ** .. <br /> <br /> Namun, alur cerita dalam hal ini film tidak lagi gila Kami melihat ilmuwan gila gila Dr. Krieger dimainkan oleh Udo Kier, membuat Jenderal-Mutasi-tentara atau GMS seperti mereka dipanggil. Melakukan penelitian rahasia di sebuah pulau yang mengingatkan saya pada ""SPOILER"" Vancouver untuk beberapa alasan. Tidak ada pohon palem di sini. Sebagai gantinya, kami mendapatkan kayu penebang kayu yang kaya raya. Kami bahkan belum pergi jauh sebelum saya mulai CRY (mehehe) saya tidak bisa lagi. Jika Anda ingin tetap setia kepada Bolls shenanigans, pergilah dan lihat film ini, Anda tidak akan kecewa karena memberikan pengalaman Boll yang sebenarnya, artinya Sebagian besar akan mengisap. Ada beberapa hal yang perlu disebutkan yang akan menyiratkan bahwa Boll melakukan pekerjaan yang baik di beberapa area film seperti beberapa adegan perahu dan pertempuran yang bagus. Sampai seluruh skuad GM yang cromed / albino memasuki tempat kejadian dan semuanya hanya membuat saya tertawa. Film Far Cry berbau scheisse (itu kotoran untuk Anda simpleton) dari fa, r jika Anda ingin menghilangkannya terus terang .. BTW Carver mendapat sidekick yang sangat menjengkelkan yang membuat Anda ingin menembak dia tiga menit pertama dia di layar.",negative
"Pemeran memainkan Shakespeare. Shakespeare hilang. <br /> <br /> Saya menghargai bahwa ini mencoba membawa Shakespeare ke massa, tapi mengapa merusak sesuatu dengan baik. <br /> <br /> Apakah karena 'The Scottish Play' adalah Shakespeare favorit saya? Saya tidak tahu. Yang saya tahu adalah bahwa seorang Rev Bowdler tertentu (oleh karena itu bowdlerization) mencoba melakukan sesuatu yang serupa di era Victoria. Dengan kata lain, Anda tidak dapat memperbaiki kesempurnaan. <br /> <br /> Saya Tidak ada lagi yang harus ditulis tapi karena saya harus menulis setidaknya sepuluh baris teks (dan komposisi bahasa Inggris tidak pernah menjadi keahlian saya, saya hanya harus terus berjalan dan mengatakan bahwa film ini, seperti kata pepatah, tidak memotongnya.",negative
Ini film fantastis dari tiga narapidana yang menjadi terkenal. Salah satu aktor adalah george clooney dan saya bukan penggemar tapi roll ini tidak buruk. Hal lain yang bagus tentang film adalah soundtrack (orang yang selalu berduka). Saya recommand film ini untuk semua orang. Salam Bart,positive
"Mirip ditarik oleh adegan erotis, hanya untuk menyadari ini adalah salah satu potongan film paling amatir dan tak dapat dipercaya yang pernah saya lihat. Semacam seperti proyek film sekolah menengah. Apa yang Rosanna Arquette pikirkan ?? Dan apa dengan semua karakter saham di kota Midwest yang aneh itu? Cukup sulit untuk terlibat dengan yang satu ini. Tidak ada pelajaran yang bisa dipetik darinya, tidak ada wawasan cemerlang, hanya kaku dan sangat menggelikan (tapi banyak kulit, jika itu menggelitik Anda) merekam omong kosong .... Apa hubungan biseksualnya, entah dari mana, setelah semua pertemuan heteroseksual . Dan apa yang terjadi dengan tarian absurd itu, dengan semua orang memainkan peran stereotip mereka? Berikan yang ini sebuah pass, ini seperti satu juta mil lainnya dari film yang buruk dan terbuang, uang yang bisa dihabiskan untuk anak kelaparan atau AIDS di Afrika .....",negative
"Beberapa film hanya seharusnya tidak dibuat ulang. Ini salah satunya. Dalam dan dari dirinya sendiri itu bukan film yang buruk. Tapi gagal menangkap rasa dan teror film 1963 dengan judul yang sama. Liam Neeson sangat hebat seperti biasanya, dan sebagian besar pemerannya memegang, kecuali Owen Wilson, yang sama sekali tidak merasa benar dengan karakter Luke. Tapi kesalahan utama dengan versi ini adalah bahwa hal itu menyimpang terlalu jauh dari kisah Shirley Jackson dalam usaha untuk menjadi mulianya dan kehilangan sebagian sensasi film sebelumnya dalam sebuah trade off untuk efek spesial snazzier. Sekali lagi saya akan mengatakan bahwa dalam dan dari dirinya sendiri itu bukan film yang buruk. Tapi Anda akan menikmati gesekan teror di versi yang lebih tua lagi.",positive
"Film ini berhasil masuk dalam salah satu dari 10 film paling mengerikan saya. Mengerikan. <br /> <br /> Tidak ada saat yang terus-menerus dimana tidak ada perkelahian dengan satu monster atau monster lainnya. Tidak ada kesempatan untuk pengembangan karakter apapun, mereka terlalu sibuk berlari dari satu pedang ke yang lain. Saya tidak memiliki keterikatan emosional (kecuali mesin buruk besar yang ingin menghancurkannya) Adegan dicuri secara terang-terangan dari film lain, LOTR, Star Wars dan Matrix. <br /> <br /> Contoh Mesin laba-laba pada awalnya persis seperti Frodo yang diserang oleh laba-laba di Return of the Kings. (Elijah Wood adalah korban di kedua film) dan tunggu ...... itu menghipnotis (sengatan) korbannya dan membungkusnya ..... uh halo ???? <br /> <br />> Dan Seluruh mesin vs manusia bertema WS Matrix .. atau Terminator ..... Ada lebih banyak contoh tapi mengapa membuang waktu? Dan akankah seseorang memberi tahu saya apa yang terjadi dengan Nazi itu?!?! Nazi's ???? <br /> <br /> Ada alur cerita remaja yang terburu-buru sampai ke kesimpulan remaja. Film ini tidak bisa memutuskan apakah itu film anak-anak atau film dewasa dan juga tidak banyak. hanya mengerikan Kekecewaan nyata untuk sedikitnya. Simpan uangmu",negative
"Saya ingat film ini, ini adalah film pertama yang pernah saya tonton di bioskop. Gambarannya terasa gelap di tempat-tempat yang sangat saya gugup saat kembali ke 74/75 ayah saya membawa saudara laki-laki dan saudara perempuan saya ke bioskop Newbury di Berkshire Newbury Inggris. Saya ingat harimau dan banyak salju di film ini juga penampilan aktor Grizzly Adams Dan Haggery, saya pikir salah satu harimau ditembak dan mati. Jika ada yang tahu di mana menemukannya di DVD, tolong beritahu saya. Bioskop sekarang telah diputar di klub kebugaran yang merupakan rasa malu yang sangat besar karena bioskop terdekat sekarang berjarak 20 mil jauhnya, akan senang mendengar kabar dari orang lain yang telah melihat film ini atau yang lainnya seperti itu.",positive
"Film yang mengerikan Pasti melawan beberapa stinker nyata yang dinominasikan untuk Golden Globe. Mereka telah mengambil cerita tentang pelukis Renaisans wanita pertama yang terkenal dan menghancurkannya tanpa dikenali. Keluhan saya bukan karena mereka telah mengambil kebebasan dengan fakta; Jika ceritanya bagus, itu akan baik-baik saja. Tapi itu hanya aneh - oleh semua akun kisah sebenarnya dari artis ini akan dibuat untuk sebuah film yang jauh lebih baik, jadi mengapa mereka muncul dengan skrip dishwater-kusam ini? Kurasa tidak cukup banyak orang telanjang dalam versi faktualnya. Ini segera ditutup pada akhirnya dengan ringkasan kehidupan sang seniman - kita bisa menyelamatkan diri beberapa jam jika mereka menyukai film lainnya dengan singkat.",negative
"Setelah kesuksesan Die Hard dan sekuelnya, tidak mengherankan jika pada tahun 1990an, segumpal film 'Die Hard on a .....' menguangkan orang yang salah, salah tempat, konsep waktu yang keliru. Itulah yang mereka lakukan dengan Cliffhanger, Die Hard di sebuah gunung tepat pada waktunya untuk menyelamatkan karir Stallone Sly 'Stop atau My Mom Will Shoot'. Cliffhanger adalah salah satu pemimpi nit-pickers yang besar, terutama bagi mereka. yang ahli dalam pendakian gunung, base-jumping, aviation, ekspresi wajah, akting skill. Semuanya penuh dengan alasan untuk menolak film tersebut sebagai tumpukan sampah yang berlebihan. Stallone bahkan berhasil keluar-ditindaklanjuti dengan seekor kuda! Namun, jika Anda melupakan semua omong kosong itu, sebenarnya ini adalah permainan yang sangat menyenangkan dan tidak dapat disangkal yang menghibur yang memberikan banyak sensasi, dan secara tidak sengaja, banyak tawa. <br /> <br /> Anda harus mencintai John Lithgows sneery Kejahatan, tanda centang pada setiap kotak band penjahat, dan yang terbaik dari semuanya, agen 'turncoat' yang dilecehkan secara permanen dan tidak berperasaan, Rex Linn sebagai Travers. <br /> <br /> Dia mungkin saja Henry dalam 'Potret Pembunuh Serial 'tapi Michael Rooker patut dicatat untuk pertunjukan yang sangat berharga saat Hal, dia berkeras terus-menerus menjerit karena ketidakpercayaan yang menyakitkan pada para penculiknya' orang itu tidak akan pernah menyakiti siapa pun 'Dan sementara dia pasti tidak seperti itu, itu benar-benar terlihat seperti Ralph Waite's Frank karakter menyeringai saat gadis itu jatuh ke dalam kematiannya. Sebut juga harus pergi ke mantan aktor 'London Burning' Craig Fairbrass sebagai orang jahat Brit, yang datang sebagai pemangkas saat menggunakan Hal sebagai Human Football, ya, kamu tidak bisa membantu menikmati sedikit itu, Hal butuh tendangan yang bagus. Jadi lupakan lebih baik kamu Penghakiman, siapa peduli jika 'itu tidak akan pernah terjadi', menurunkan harapan akting Anda, menaikkan volume dan menikmati! Dan jika Anda mencari Qaulen, dia yang memakai helikopter.",positive
"Saya memiliki kemalangan yang mengerikan karena harus melihat ""b-movie"" ini secara keseluruhan. <br /> <br /> Yang harus saya katakan adalah --- menghemat waktu dan uang Anda !!! Ini pasti film terburuk sepanjang masa, seharusnya tidak disebut film b, lebih seperti f-movie! Karena gagal dalam semua aspek yang membuat film yang bagus: ceritanya sama sekali tidak menarik, semua aktor itu selip dan tidak percaya sama sekali, itu memiliki arah yang buruk dan urutan aksi sangat palsu sehingga hampir lucu. ..... hampir. <br /> <br /> Film ini hanya dikemas penuh dengan satu liner jelek sehingga tidak ada orang terhormat yang bisa merasa lucu sedikit pun. <br /> <br /> Film ini adalah Seharusnya diarahkan pada pria, tapi semua wanita di dalamnya sangat tidak menarik, terutama yang berkerut tua yang masuk menjelang akhir. Mereka mencoba tampil seksi dalam kostum aneh dan mengerikan itu dan mereka gagal total! <br /> <br /> Bahkan beberapa film b yang paling menggelikan masih akan memberi Anda beberapa tawa, tapi ini terlalu menyakitkan untuk ditonton. !!",negative
"Betapa film yang benar-benar menakjubkan, jika Anda memiliki 2,5 jam untuk membunuh, awasi, Anda tidak akan menyesalinya, ini terlalu menyenangkan! Rajnikanth membawa film di bahunya dan meski tidak ada yang lain selain dia, saya tetap menyukainya. Musik oleh A.R.Rehman butuh waktu untuk tumbuh pada Anda tapi setelah Anda mendengarnya beberapa kali, Anda benar-benar mulai menyukainya.",positive
"Pertama-tama, mari kita beberapa hal langsung di sini: a) AKU adalah penggemar anime - selalu sama seperti fakta (saya biasa menonton Speed ??Racer sepanjang waktu di Prasekolah). b) Saya suka beberapa B-Movies karena lucu. c) Saya menyukai film Godzilla-banyak. Bergerak terus, saat film pertama kali diluncurkan, sepertinya ini adalah film B biasa Anda, hingga FX yang jelek, tapi semua Tiba-tiba-BOOM! anime muncul! Ini adalah saat film berjalan WWWAAAAAYYYYYY menurun. Animasinya SANGAT buruk & murah, bahkan lebih buruk dari yang kuingat dari SPEED RACER, untuk remah-remah! Sebenarnya, ini sangat murah, salah satu dari sedikit adegan dari film yang saya ""jelaskan"" ingat adalah ketika sekelompok anak kehabisan sekolah ... & ini adalah anak yang sama berulang-ulang! FX juga mengerikan; dinosaurus terlihat lebih buruk dari Godzilla. Selain itu, transisi ke tindakan langsung ke animasi tidak terorganisir, dialog & suara (terutama pepatah bahasa Inggris yang saya lihat) mengerikan & saya memohon kepada ayah saya untuk mengeluarkan rekaman dari pemutar DVD / VHS; Satu-satunya hal yang membuatku bertahan adalah memecahkan lelucon dan komentar seperti robot & Joel / Mike di MST3K (Anda memilih musimnya). Jujur saja, inilah satu-satunya cara untuk hampir tidak menikmati film ini dan bertahan di saat bersamaan. Heck, saya berencana untuk menunjukkan hal ini kepada teman otaku lain di Halloween untuk acara B- Malam film Karena itu bodoh, sangat menyakitkan untuk menonton & tidak sengaja lucu pada saat bersamaan, saya memberikan film ini 3/10, sebuah perbaikan dari 0.5/10 yang pada awalnya saya akan berikan. <br /> <br /> (Menurut skala penilaian saya: 3/10 berarti cukup banyak membosankan & buruk.Senang seperti menghitung sampai tiga kecuali jika Anda menemukan cara untuk mengolok-oloknya, maka akan menjadi sama menyenangkannya dengan menghitung sampai 15.)",negative
Ini adalah film terburuk yang saya lihat di WorldFest dan juga mendapat sedikit tepuk tangan setelahnya! Saya hanya bisa berpikir itu menerima pengakuan seperti itu berdasarkan jumlah aktor yang dikenal dalam film ini. Senang melihat J.Beals tapi dia hanya di film selama beberapa menit. M.Parker adalah aktris yang jauh lebih baik daripada yang diijinkan. Sisa aktingnya sulit dinilai karena filmnya begitu konyol dan mudah ditebak. Tokoh utamanya sangat tidak simpatik dan karena itu membosankan untuk ditonton. Tidak ada kedalaman emosional yang nyata dalam cerita ini. Sebuah film bergulir tentang seorang aktor yang tidak bisa mendapatkan pekerjaan tidak merasa sangat orisinal kepadaku. Juga perkembangan polisi. Rasanya seperti salah satu dari banyak film langsung ke video yang saya lihat di tahun 90an ... Dan bahkan tidak bagus dalam standar tersebut. <br /> <br />,negative
"Karen Carpenter Story menunjukkan sedikit lebih banyak tentang kehidupan kompleks penyanyi Karen Carpenter. Meskipun gagal dalam memberikan fakta yang akurat, dan rinciannya. Cynthia Gibb (menggambarkan Karen) bukanlah pemilihan yang baik. Dia adalah aktris yang baik, tapi sangat menyukai Karen Carpenter yang naif dan bodoh. Saya pikir peran itu membutuhkan karakter yang lebih kuat. Seseorang dengan kepribadian yang lebih kuat. Peran Louise Fletcher sebagai Agnes Carpenter hebat, dia melakukan pekerjaan yang bagus sebagai ibu Karen. Ini memiliki lagu-lagu bagus, yang bisa disertakan. di album soundtrack Sayangnya mereka tidak, meski film ini berada di puncak peringkat di Amerika Serikat dan beberapa negara lainnya",positive
